league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ESP-La Liga,9293,Osasuna,21,26.6,,38,,3420,38,,,,,,,89,,,,,,,/en/squads/03c57e2b/1992-1993/Osasuna-Stats
ESP-La Liga,9293,Oviedo,22,27.9,,38,,3420,38,,,,,,,94,,,,,,,/en/squads/ab358912/1992-1993/Oviedo-Stats
ESP-La Liga,9293,Rayo Vallecano,22,25.1,,38,,3420,38,,,,,,,100,,,,,,,/en/squads/98e8af82/1992-1993/Rayo-Vallecano-Stats
ESP-La Liga,9293,Real Burgos,23,26.7,,38,,3420,38,,,,,,,89,,,,,,,/en/squads/fde10d5a/Real-Burgos-Stats
ESP-La Liga,9293,Real Madrid,21,26.4,,38,,3420,38,,,,,,,77,,,,,,,/en/squads/53a2f082/1992-1993/Real-Madrid-Stats
ESP-La Liga,9293,Real Sociedad,23,26.2,,38,,3420,38,,,,,,,69,,,,,,,/en/squads/e31d1cd9/1992-1993/Real-Sociedad-Stats
ESP-La Liga,9293,Sevilla,20,25.3,,38,,3420,38,,,,,,,118,,,,,,,/en/squads/ad2be733/1992-1993/Sevilla-Stats
ESP-La Liga,9293,Sporting Gijón,25,23.5,,38,,3420,38,,,,,,,91,,,,,,,/en/squads/bb9efd50/1992-1993/Sporting-Gijon-Stats
ESP-La Liga,9293,Tenerife,22,26.1,,38,,3420,38,,,,,,,99,,,,,,,/en/squads/27cc9c62/1992-1993/Tenerife-Stats
ESP-La Liga,9293,Valencia,19,27.7,,38,,3420,38,,,,,,,78,,,,,,,/en/squads/dcc91a7b/1992-1993/Valencia-Stats
ESP-La Liga,9293,Zaragoza,24,26.6,,38,,3420,38,,,,,,,100,,,,,,,/en/squads/800303a0/1992-1993/Zaragoza-Stats
ESP-La Liga,9394,Albacete,22,27.1,,38,,3420,38,,,,,,,78,,,,,,,/en/squads/b7e3e46e/1993-1994/Albacete-Stats
ESP-La Liga,9394,Athletic Club,25,23.9,,38,,3420,38,,,,,,,85,,,,,,,/en/squads/2b390eca/1993-1994/Athletic-Club-Stats
ESP-La Liga,9394,Atlético Madrid,25,26.3,,38,,3420,38,,,,,,,121,,,,,,,/en/squads/db3b9613/1993-1994/Atletico-Madrid-Stats
ESP-La Liga,9394,Barcelona,21,27.0,,38,,3420,38,,,,,,,87,,,,,,,/en/squads/206d90db/1993-1994/Barcelona-Stats
ESP-La Liga,9394,Celta Vigo,24,26.0,,38,,3420,38,,,,,,,97,,,,,,,/en/squads/f25da7fb/1993-1994/Celta-Vigo-Stats
ESP-La Liga,9394,Dep La Coruña,18,27.6,,38,,3420,38,,,,,,,73,,,,,,,/en/squads/2a60ed82/1993-1994/Deportivo-La-Coruna-Stats
ESP-La Liga,9394,Lleida,23,26.7,,38,,3420,38,,,,,,,99,,,,,,,/en/squads/def43993/1993-1994/Lleida-Stats
