,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Home_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsScored_Last5,Away_GoalsConceded_Last5
135,Zaragoza,Sevilla,0,1,A,0.0,0.0,D,0.6,1.4,1.2,2.0
136,Vallecano,Sp Gijon,2,0,H,1.0,0.0,H,1.2,1.2,1.8,1.0
137,Valladolid,Celta,1,1,D,0.0,0.0,D,1.0,2.0,1.2,1.2
138,Valencia,Tenerife,2,2,D,0.0,1.0,A,1.8,1.8,1.8,2.2
139,Merida,Espanol,0,1,A,0.0,0.0,D,1.4,1.2,1.6,0.4
140,Compostela,Salamanca,0,0,D,0.0,0.0,D,2.0,2.6,1.8,1.8
141,Oviedo,Santander,2,1,H,0.0,1.0,A,1.6,2.0,1.0,0.8
142,Sociedad,Barcelona,1,1,D,0.0,1.0,A,1.6,1.8,2.0,0.8
143,Tenerife,Compostela,1,1,D,0.0,1.0,A,1.8,2.2,1.2,2.4
144,Sp Gijon,Real Madrid,0,0,D,0.0,0.0,D,1.6,1.4,1.4,1.0
145,Salamanca,Ath Bilbao,2,1,H,1.0,0.0,H,1.8,1.4,1.2,1.8
146,La Coruna,Valladolid,3,1,H,1.0,0.0,H,0.2,0.4,1.2,2.2
147,Sevilla,Vallecano,1,0,H,0.0,0.0,D,1.4,1.4,1.2,0.8
148,Celta,Merida,2,0,H,1.0,0.0,H,1.4,1.2,1.0,1.2
149,Ath Madrid,Oviedo,3,0,H,1.0,0.0,H,0.6,0.4,1.8,1.4
150,Albacete,Valencia,1,3,A,0.0,1.0,A,0.2,1.4,2.0,2.0
151,Espanol,Zaragoza,1,1,D,0.0,1.0,A,1.2,0.4,0.4,1.6
152,Santander,Betis,0,0,D,0.0,0.0,D,1.2,1.2,2.4,1.2
153,Barcelona,Santander,1,1,D,1.0,1.0,D,2.0,1.0,1.0,0.6
154,Real Madrid,Sevilla,4,1,H,3.0,0.0,H,1.0,1.0,1.6,0.6
155,Vallecano,Espanol,1,0,H,1.0,0.0,H,0.8,1.0,1.4,0.6
156,Salamanca,Tenerife,1,2,A,1.0,1.0,D,1.8,1.2,2.0,2.0
157,Zaragoza,Celta,0,0,D,0.0,0.0,D,0.4,1.4,1.0,1.2
158,Valencia,Sociedad,0,1,A,0.0,0.0,D,2.6,2.0,1.4,1.8
159,Oviedo,Sp Gijon,1,0,H,0.0,0.0,D,1.4,1.6,1.6,1.2
160,Compostela,Albacete,3,1,H,2.0,0.0,H,1.4,1.6,0.4,1.6
161,Betis,Ath Madrid,2,1,H,2.0,1.0,H,1.4,1.2,1.0,0.4
162,Ath Bilbao,Valladolid,2,1,H,1.0,1.0,D,1.2,1.4,1.4,2.6
163,Merida,La Coruna,0,2,A,0.0,1.0,A,0.4,1.4,0.8,0.4
164,Ath Madrid,Barcelona,3,1,H,2.0,0.0,H,1.0,0.6,2.0,0.8
165,Santander,Valencia,0,3,A,0.0,2.0,A,1.2,0.8,2.0,2.0
166,Valladolid,Merida,1,1,D,1.0,1.0,D,1.2,2.2,0.2,1.6
